id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,情感结果,情感得分
5206026297018245,Q2wLPtrLv,7397243032,PandaWardrobe丨熊猫衣柜,一些哑巴但靠谱的霸道总裁belike#樊振东德甲首秀#|#凯迪拉克樊振东#,,,,"樊振东德甲首秀,凯迪拉克 樊振东",4.0,5.0,125.0,2025-09-01 11:20:00,乒颜一超话,['https://wx2.sinaimg.cn/large/0084C4Pugy1i4y0yevqejj30k00ztdif.jpg'],,,,neutral,0.5
5206069988557788,Q2xUizUgQ,2188202475,南京晨报,#吴敬平点评樊振东德甲首秀##吴敬平说樊振东首秀失利不是坏事#@吴敬平教练发博点评樊振东德甲首秀：小胖德甲首秀失利，不是一件坏事。欧洲人打球，打的是天赋，打的是一种热爱，打的是一种随心所欲。中国人打球，打的是一种责任。在德甲联赛中体会欧洲人打球的快乐对小胖来说是一种新的体验。这个视频体现了欧洲人会玩乒乓球。我估计小胖也是在比赛中第一次看到这种接球方式，我看过欧洲人很多玩球的视频，其中就有这个玩法。#樊振东1比3杜达#L吴敬平教练的微博视频,,,吴敬平教练,"吴敬平点评樊振东德甲首秀,吴敬平说樊振东首秀失利不是坏事,樊振东1比3杜达",0.0,0.0,1.0,2025-09-01 14:14:00,微博视频号,,"http://f.video.weibocdn.com/o0/wAQP0XMdlx08r3VrnIY0010412007Dyd0E010.mp4?label=mp4_720p&template=720x800.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1757805657&ssig=1RCQ5riadY&KID=unistore,video",,,neutral,0.5
5206069974403014,Q2xUhitqm,3176105483,苍龙飞天79,#吴敬平点评樊振东德甲首秀##吴敬平说樊振东首秀失利不是坏事#@吴敬平教练发博点评樊振东德甲首秀：小胖德甲首秀失利，不是一件坏事。欧洲人打球，打的是天赋，打的是一种热爱，打的是一种随心所欲。中国人打球，打的是一种责任。在德甲联赛中体会欧洲人打球的快乐对小胖来说是一种新的体验。这个视频体现了欧洲人会玩乒乓球。我估计小胖也是在比赛中第一次看到这种接球方式，我看过欧洲人很多玩球的视频，其中就有这个玩法。#樊振东1比3杜达#L吴敬平教练的微博视频,,,吴敬平教练,"吴敬平点评樊振东德甲首秀,吴敬平说樊振东首秀失利不是坏事,樊振东1比3杜达",0.0,0.0,0.0,2025-09-01 14:14:00,微博视频号,,"http://f.video.weibocdn.com/o0/wAQP0XMdlx08r3VrnIY0010412007Dyd0E010.mp4?label=mp4_720p&template=720x800.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1757805657&ssig=1RCQ5riadY&KID=unistore,video",,,neutral,0.5
5206069762852903,Q2xTWbYaz,7732598873,露cccc_刘国梁走铁路,//@FanDomiNation丨樊振东星光簿:#樊振东#🏓#2025-2026德甲联赛#【20250831】#樊振东德甲首秀#【视频】,,,FanDomiNation丨樊振东星光簿,"樊振东,2025-2026德甲联赛,樊振东德甲首秀",0.0,0.0,7385.0,2025-09-01 14:13:00,,,,5206070000000000.0,,neutral,0.5
5205874352325587,Q2sOL9KZt,6901447331,漂移喵星,//@FanDomiNation丨樊振东星光簿:#樊振东#🏓#2025-2026德甲联赛#【20250831】#樊振东德甲首秀#【视频】,,,FanDomiNation丨樊振东星光簿,"樊振东,2025-2026德甲联赛,樊振东德甲首秀",0.0,0.0,2873.0,2025-09-01 01:17:00,iPhone客户端,,,5205860000000000.0,,neutral,0.5
5205874081268355,Q2sOk5jXl,6899005606,淋雨乱跑扮深情,#樊振东德甲首战不敌鲁伊斯#樊振东输给世界第一没关系，下次争取赢回来。,,,,樊振东德甲首战不敌鲁伊斯,0.0,1.0,0.0,2025-09-01 01:16:00,iPhone客户端,,,,,neutral,0.5
5206542045679087,Q2KbGnPob,7960755230,_蜉蝣于天地_,乒颜一超话#樊振东##樊振东德甲#2025.08.31德甲首秀cr见p2这个摄影也是上次拍波尔退役派对的。,,,,"樊振东,樊振东德甲",1.0,2.0,30.0,2025-09-02 21:30:00,乒颜一超话,"['https://wx3.sinaimg.cn/large/008GKw5Ugy1i4zo5yfudtj30wr1m8wqd.jpg', 'https://wx2.sinaimg.cn/large/008GKw5Ugy1i4zo62w4n7j30u01elduu.jpg']",,,,neutral,0.5
5206541252429994,Q2Kapac9s,7696069174,hoeidi满血版,@樊振东#樊振东德甲#,,,樊振东,樊振东德甲,0.0,0.0,3773.0,2025-09-02 21:27:00,iPhone客户端,,,5206520000000000.0,,neutral,0.5
5206525548957256,Q2JL4BAbS,5703699806,用户5703699806,#樊振东德甲首个对手鲁伊斯开博#,,,,樊振东德甲首个对手鲁伊斯开博,0.0,0.0,2.0,2025-09-02 20:24:00,荣耀300 Pro 旅拍神器,,,5206470000000000.0,,neutral,0.5
5206525406613454,Q2JKQrKsC,7896190295,红姐文娱,樊振东德甲首秀不敌鲁伊斯，但看得出小胖又可以快乐打球了体育超话#樊振东#L红姐文娱的微博视频,,,,樊振东,1.0,2.0,7.0,2025-09-02 20:24:00,体育超话,,"http://f.video.weibocdn.com/o0/gnkTrlhylx08r6aC20LS01041200laGy0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1757805718&ssig=yUUNjjPKXi&KID=unistore,video",,,neutral,0.5
5205982915594893,Q2vDRntud,3239590760,灰灰努力在打怪,需要适应的，樊振东已经很棒咯#队友回应樊振东德甲首秀失利#,,,,队友回应樊振东德甲首秀失利,0.0,0.0,0.0,2025-09-01 08:28:00,废话小天才,,,,,neutral,0.5
5205982821221173,Q2vDI57Gl,5904176717,三好小熊_,//@FanDomiNation丨樊振东星光簿:#樊振东#🏓#2025-2026德甲联赛#【20250831】#樊振东德甲首秀#【视频】,,,FanDomiNation丨樊振东星光簿,"樊振东,2025-2026德甲联赛,樊振东德甲首秀",0.0,0.0,6495.0,2025-09-01 08:28:00,少管我！iPhone客户端,,,5205870000000000.0,,neutral,0.5
